Date,Username,User tag,Content,Mentions,link
"2022-05-14,19:51:14","Hathena","#6395","Couche Tard food is the bomb","",""
"2022-05-14,19:53:00","valley seeker","#0186","Martin Scorsese and Bill Maher are right about superhero comics and superhero movies.
I will get destroyed by this one but heck it.","",""
"2022-05-15,09:30:47","LOLO","#5036","Stan Lee wrote all marvel scripts","",""
"2022-05-17,20:07:13","nomorethannick","#2460","This isn't your opinion dipshit","LOLO#5036",""
"2022-05-17,20:07:19","nomorethannick","#2460","stop stealing from people","",""
"2022-05-17,20:07:46","LOLO","#5036","Where does it say it has to be mine","nomorethannick#2460",""
"2022-05-17,20:07:53","LOLO","#5036","It's still unpopular","",""
"2022-05-17,20:08:00","nomorethannick","#2460","Ok well here's my unpopular opinion","",""
"2022-05-17,20:08:06","nomorethannick","#2460","furries are decent human beings","",""
"2022-05-17,20:08:10","LOLO","#5036","Oh no","",""
"2022-05-17,20:08:17","LOLO","#5036","Imagine liking something Nick doesn't","",""
"2022-05-17,20:08:18","nomorethannick","#2460","How do you like that one Obama","",""
"2022-05-17,20:08:18","Frunnkis","#8368","That's not unpopular that's incorrect","",""
"2022-05-17,20:08:26","LOLO","#5036","HAHAHAH","Frunnkis#8368",""
"2022-05-17,20:08:47","nomorethannick","#2460","it can be both","Frunnkis#8368",""
"2022-05-17,20:09:21","nomorethannick","#2460","some crimes cannot be forgiven","LOLO#5036",""
"2022-05-27,23:20:27","Wubba Wubba","#1493","Eating corn on the cob sucks fucking ass","",""
"2022-05-27,23:20:50","Wubba Wubba","#1493","Everytime I take a bite, sometimes I go to deep and take a bite into what feels like a fucking rock","",""
"2022-05-27,23:21:20","Wubba Wubba","#1493","Than after I'm done eating, there are a bunch of bits of corn in between my teeth, and it always hurts/annoys me","",""
"2022-05-27,23:21:27","Why?","#3862","Can I call people dumbasses on this channel","",""
"2022-05-27,23:21:42","Wubba Wubba","#1493","I don't see why you wouldn't be able to","",""
"2022-05-27,23:23:11","Dinanox","#7811","Arthur, you keep striving away from god","",""
"2022-05-27,23:26:17","Wubba Wubba","#1493","Everytime I'm offered corn on the cob, I hold it up vertically on top of a plate, and cut off the nubs of corn off with a knife","",""
"2022-05-27,23:35:52","Frunnkis","#8368","yes","Why?#3862",""
"2022-05-27,23:35:55","Frunnkis","#8368","you should in fact","",""
"2022-05-27,23:38:23","Wubba Wubba","#1493","Well, this was indeed an unpopular opinion","",""
"2022-05-27,23:40:21","Fart City 2","#4264","next unpopular opinion <@162982682098270208>","Le Mounir#6969",""
"2022-05-27,23:40:55","Wubba Wubba","#1493","I remember one of the unpopular opinions of mou","",""
"2022-05-27,23:41:04","Wubba Wubba","#1493","He literally hates every vegetable","",""
"2022-05-27,23:41:09","Fart City 2","#4264","mou is full of unpopular opinions","",""
"2022-05-27,23:41:10","Wubba Wubba","#1493","Literally all of them","",""
"2022-05-27,23:41:19","Wubba Wubba","#1493","In any way they're cooked","",""
"2022-05-27,23:41:20","Why?","#3862","Mou is an unpopular opinion","",""
"2022-05-27,23:41:28","Wubba Wubba","#1493","True","",""
"2022-05-27,23:50:37","Le Mounir","#6969","I don't like em","",""
"2022-05-27,23:50:41","Le Mounir","#6969","I hate half of em","",""
"2022-05-27,23:51:11","Why?","#3862","You set yourself up to be insulted so easily","",""
"2022-05-27,23:51:26","Le Mounir","#6969","I still eat them bitch","",""
"2022-05-27,23:54:52","Dinanox","#7811","You’re a baby","",""
"2022-05-27,23:56:37","Wubba Wubba","#1493","Chips and fries don't count. Neither does the lettuce in a burger.","",""
"2022-05-27,23:56:57","Why?","#3862","Why do you send texts with periods","",""
"2022-05-27,23:57:16","Wubba Wubba","#1493","Because they please my eyes to see.","",""
"2022-05-27,23:57:30","Why?","#3862","Okay.","",""
"2022-05-27,23:57:38","Why?","#3862","Have a bad night.","",""
"2022-05-27,23:58:01","Wubba Wubba","#1493","Okay, gn Santi :)","",""
"2022-05-27,23:58:23","Le Mounir","#6969","Fuck you","",""
"2022-05-30,08:09:02","valley seeker","#0186","I just played smash for the nintendo 64 with a friend.

Wow. All smash game are truly the same contentless scam aren't they? All people who pay 7 dollars or more for a moveset(excuse me, a ""character dlc"") are fool and does not deserve the money.

Im removing the smash scam from my nintendo plunge. Fuck that noise.","",""
"2022-05-30,08:17:23","Le Mounir","#6969","<:died:973097382621380618> <:died:973097382621380618> <:died:973097382621380618>","",""
"2022-05-30,08:17:36","Le Mounir","#6969","You'll cry when you see more fighting games","",""
"2022-05-30,08:18:08","Le Mounir","#6969","Peut être pas smash 64, mais les autres smash except ultimate are packed with content","",""
"2022-05-30,09:04:06","valley seeker","#0186","I indeed lost hope on most of humankind when I played injustice, street fighter, guilty gear and dbz fighterz.

They are all the same, but with different moveset. Fuck me, the character does not even matter. Why would I ever play superman if he can lose against the motherfucking joker?! Why would I pay for gogeta blue if he can be beaten by videl?!","Le Mounir#6969",""
"2022-05-30,09:04:10","valley seeker","#0186","Whats the point?!","",""
"2022-05-30,09:05:18","Darky4540","#5733","Bro just play the one punch man fighting game. Have fun trying to beat Saitama:)","",""
"2022-05-30,09:07:07","Le Mounir","#6969","Omg","",""
"2022-05-30,09:07:17","Le Mounir","#6969","I have never read such a bad text","",""
"2022-05-30,09:07:45","Le Mounir","#6969","Video Games being balanced and diversified isn't a bad thing bro","",""
"2022-05-30,09:08:19","Le Mounir","#6969","Also fighting games are mostly competitive","",""
"2022-05-30,09:08:38","Le Mounir","#6969","Aka: 95% of em","",""
"2022-05-30,09:09:04","Le Mounir","#6969","Imagine a compétitive environnement with only 1 playable character","",""
"2022-05-30,09:09:14","Le Mounir","#6969","Cause Goku fucking Beats everyone","",""
"2022-05-30,10:16:40","Darky4540","#5733","This do be the unpopular opinion chanel","",""
"2022-05-30,10:17:05","Darky4540","#5733","But does be beat christ and or Allah?","Le Mounir#6969",""
"2022-05-30,10:17:42","Le Mounir","#6969","yes bee beat","",""
"2022-05-30,10:20:53","SpencerKnight100","#1990","Can he beat the Monkey King? 'Cause he's got like 5 different methods of immortality stacked up (how that works is anyone's guess).","",""
"2022-05-30,10:47:05","Frunnkis","#8368","Street Fighter 1 and every pre-street fighting game (they suck)","Le Mounir#6969",""
"2022-05-30,10:58:55","Le Mounir","#6969","The only good game","",""
"2022-05-30,11:11:03","valley seeker","#0186","Not when it contredict the iconisation of the character or the power scaling.

When you play superman, aren't you supposed to feel like superman? If everyone have the same power, then you can just swap skin characters.

Its like playing a batman game and then get beaten by a bunch of kids.","Le Mounir#6969",""
"2022-05-30,11:11:29","Le Mounir","#6969","I don't think you understand the point of a fighting game","",""
"2022-05-30,11:11:52","valley seeker","#0186","And no, gamer do not care about fairness.

Look at borderland. Destiny. Hell, every fucking rpg ever with no scaling.","",""
"2022-05-30,11:11:59","valley seeker","#0186","Indeed, I do not","Le Mounir#6969",""
"2022-05-30,11:12:12","Le Mounir","#6969","They're not competitive fighging experiences","",""
"2022-05-30,11:12:46","Le Mounir","#6969","Idk how to explain better, people have fun cause diversity of gameplay","",""
"2022-05-30,11:12:57","valley seeker","#0186","I see them as a waste of time. Better go fighting in real life, earing your heartbeat, blood pumping and getting physically more fit.","",""
"2022-05-30,11:13:00","Frunnkis","#8368","What?
Destiny, quite possibly the biggest shooter ever, has only 2-3 ""overpowered"" items at a time Ina constantly shifting meta","valley seeker#0186",""
"2022-05-30,11:13:10","Le Mounir","#6969","Yes.","",""
"2022-05-30,11:13:12","Le Mounir","#6969","Exactly","",""
"2022-05-30,11:13:14","valley seeker","#0186","Its literally the same thing.","Le Mounir#6969",""
"2022-05-30,11:13:18","Le Mounir","#6969","Put your life in danger","",""
"2022-05-30,11:13:27","valley seeker","#0186","Legendary item in destiny 1","Frunnkis#8368",""
"2022-05-30,11:13:27","Le Mounir","#6969","Instead of fighting with a controller","",""
"2022-05-30,11:14:02","valley seeker","#0186","You know, the fatality rate is really low in actual sport right.","Le Mounir#6969",""
"2022-05-30,11:14:37","valley seeker","#0186","And its still better than to waste that one life you have perfecting move you could actually do( not supernatural of course) in real life","",""
"2022-05-30,11:14:51","Le Mounir","#6969","Really low is worst than zero my guy","",""
"2022-05-30,11:15:03","valley seeker","#0186","Danger is part of life. This...

Boring life is way worse than a dangerous one","",""
"2022-05-30,11:15:08","valley seeker","#0186","By a wide margin","",""
"2022-05-30,11:15:12","Le Mounir","#6969","What","",""
"2022-05-30,11:15:18","Le Mounir","#6969","Petite question","",""
"2022-05-30,11:15:22","Frunnkis","#8368","Ah yes. Let me do Chun-Li's 15 kick super with my crippled back","",""
"2022-05-30,11:15:31","Le Mounir","#6969","C quoi ton opinion sur Joseph Staline?","",""
"2022-05-30,11:15:39","valley seeker","#0186","?","Le Mounir#6969",""
"2022-05-30,11:16:21","valley seeker","#0186","I said living a dangerous life is better than just... existing for 80 years, and you ask me about stalin?","",""
"2022-05-30,11:16:26","Le Mounir","#6969","Ye","",""
"2022-05-30,11:16:36","valley seeker","#0186","What the hell is the connection?","",""
"2022-05-30,11:17:04","Le Mounir","#6969","Il a rendu la vie de pleins de gens dangereuse!","",""
"2022-05-30,11:17:06","Le Mounir","#6969","More interesting","",""
"2022-05-30,11:17:09","valley seeker","#0186","If you have to know, he is a lefty like me but I do not approve of his method and his result","",""
"2022-05-30,11:17:10","Le Mounir","#6969","Cooler life's","",""
"2022-05-30,11:17:23","valley seeker","#0186","Not...

The point","",""
"2022-05-30,11:17:34","valley seeker","#0186","Did you ever do skydiving?","",""
"2022-05-30,11:17:58","valley seeker","#0186","When your heart plunge, your adreline just rush inside your vein","",""
"2022-05-30,11:18:01","Le Mounir","#6969","yes actually!","",""
"2022-05-30,11:18:05","Le Mounir","#6969","I loved it","",""
"2022-05-30,11:18:10","valley seeker","#0186","Thats living dangerously.","",""
"2022-05-30,11:18:20","Le Mounir","#6969","I vomitted the whole way down","",""
"2022-05-30,11:18:20","valley seeker","#0186","Its putting your life on the line responsibly","",""
"2022-05-30,11:18:25","Le Mounir","#6969","Parce-que j'ai le vertige","",""
"2022-05-30,11:18:29","valley seeker","#0186","Lol","",""
"2022-05-30,11:18:43","valley seeker","#0186","I got out with my eyes fully red","",""
"2022-05-30,11:18:51","Le Mounir","#6969","Just like your hair","",""
"2022-05-30,11:18:59","valley seeker","#0186","I got scared shitless.

11/10. Would do it again","",""
"2022-05-30,11:19:17","Le Mounir","#6969","Why tf would you shit while skydiving","",""
"2022-05-30,11:19:38","Le Mounir","#6969","Did you mean shirtless","",""
"2022-05-30,11:19:49","Le Mounir","#6969","I think it's dangerous skydiving shirtless","",""
"2022-05-30,11:20:07","valley seeker","#0186","No, I meant shitless. As in, adding a tone to my word.","",""
"2022-05-30,11:20:24","Le Mounir","#6969","Genre you don't wanna poop in the sky? I feel you","",""
"2022-05-30,11:20:34","Le Mounir","#6969","I would be scared to shit in a jump suit myself","",""
"2022-05-30,11:20:54","Darky4540","#5733","Ok but wtf is that logic borderlands has very little pvp its a looters shooter. Second of all batman doesn't have the same move sets. Sure superman in theory does the same about of damage as lets say batman which makes very little since but it's about the fun of a game. Again I bring up Saitama in his fighting game. He literally cannot be beat period. He insta kills everyone. That game has ludicrous power scaling but it's done for the funny haha. The whole point of competitive is so that you have some chance when fighting the canonical God character. I think the only game that doesn't really do that is DMC5 when you play as Virgil. You are playing as an apex fucking predator","valley seeker#0186",""
"2022-05-30,11:20:57","Darky4540","#5733","Same with doomguy","",""
"2022-05-30,11:21:05","Darky4540","#5733","Even though sure doomguy can die to an imp","",""
"2022-05-30,11:21:10","Le Mounir","#6969","Sorry sacha I'm too tired to read that","",""
"2022-05-30,11:21:12","Darky4540","#5733","He's still an apex predator","",""
"2022-05-30,11:21:17","Darky4540","#5733","Fair man","Le Mounir#6969",""
"2022-05-30,11:21:35","Le Mounir","#6969","Btw JSP si j'ai eu l'occasion de te le dire but I really liked your make up","",""
"2022-05-30,11:21:36","inoowo","#5169","it's for the other one anyways pas toi mou","",""
"2022-05-30,11:21:41","valley seeker","#0186","But yeah. My point is, you don't have to fight to the death. I did boxing for 3 years and I never killed anyone. You can, not waste your life","",""
"2022-05-30,11:21:48","Le Mounir","#6969","Ok but","",""
"2022-05-30,11:21:52","Le Mounir","#6969","Most people","",""
"2022-05-30,11:21:54","valley seeker","#0186","""No paragraph"" nha kidding","Darky4540#5733",""
"2022-05-30,11:22:00","Le Mounir","#6969","Dont like fighting","",""
"2022-05-30,11:22:08","Frunnkis","#8368","Are you implying that the only way too live a fulfilling life is through violence?","",""
"2022-05-30,11:22:24","Le Mounir","#6969","Tu vas pas me dire que tu tes jamais blessé en faisant de la boxe en trois ans","",""
"2022-05-30,11:22:26","valley seeker","#0186","But actually, just put god tier character against other god tier character. Why is that so hard?","Darky4540#5733",""
"2022-05-30,11:22:35","Darky4540","#5733","Also what uou complain of said life yet you live in it. Society?","valley seeker#0186",""
"2022-05-30,11:22:44","Darky4540","#5733","Bruh shut","valley seeker#0186",""
"2022-05-30,11:22:48","Le Mounir","#6969","Xeno against xeno","",""
"2022-05-30,11:23:00","Darky4540","#5733","While I do agree how do you scale Saitama to fucking anyone","valley seeker#0186",""
"2022-05-30,11:23:05","Le Mounir","#6969","The only two characters that could beat each other up in dbfz","",""
"2022-05-30,11:23:11","valley seeker","#0186","You don't","Darky4540#5733",""
"2022-05-30,11:23:26","Darky4540","#5733","Yet wouldn't it be fun to play as Saitama?","",""
"2022-05-30,11:23:26","valley seeker","#0186","No. Through adventure","Frunnkis#8368",""
"2022-05-30,11:23:27","Le Mounir","#6969","Are you born ginger or is it hair dye?","",""
"2022-05-30,11:23:38","Darky4540","#5733","Lol what","Le Mounir#6969",""
"2022-05-30,11:23:39","valley seeker","#0186","I don't look crippled","Le Mounir#6969",""
"2022-05-30,11:24:08","valley seeker","#0186","I was born soulless, horny and inferior.

So yes, ginger born","Le Mounir#6969",""
"2022-05-30,11:24:21","Le Mounir","#6969","That's so sad","",""
"2022-05-30,11:24:22","Le Mounir","#6969","Btw","",""
"2022-05-30,11:24:28","valley seeker","#0186","Lol","",""
"2022-05-30,11:24:31","Le Mounir","#6969","I've heard rumors","",""
"2022-05-30,11:24:35","Darky4540","#5733","Oof","valley seeker#0186",""
"2022-05-30,11:24:36","Le Mounir","#6969","Are you a libertarian","",""
"2022-05-30,11:24:41","Darky4540","#5733","KEKW","",""
"2022-05-30,11:24:46","Darky4540","#5733","What the fuck has this turned into","",""
"2022-05-30,11:24:46","inoowo","#5169","sjbsjansja","",""
"2022-05-30,11:24:52","Le Mounir","#6969","J'aurais du écrire librarian ça aurait été tellement drôle","",""
"2022-05-30,11:24:53","the good olive oil","#7281","Mother of christ","",""
"2022-05-30,11:25:01","inoowo","#5169","<:laughingcrying:720798539197841491>","",""
"2022-05-30,11:25:03","Darky4540","#5733","Also thank you my children for keeping this in unpopular opinion cause I do need to say","",""
"2022-05-30,11:25:12","Darky4540","#5733","This is the most unpopular opinion I have ever fucking heard","",""
"2022-05-30,11:25:23","Darky4540","#5733","<:happygelt:824960596821934120> <:troll_laugh:923680213005664266>","",""
"2022-05-30,11:25:34","Le Mounir","#6969","I want to eat a Twinkie","",""
"2022-05-30,11:25:43","Frunnkis","#8368","arthur?","Le Mounir#6969",""
"2022-05-30,11:25:54","Le Mounir","#6969","I'll fucking murder you","",""
"2022-05-30,11:26:03","the good olive oil","#7281","<@450110378047701012> thoughts on mou?","Wubba Wubba#1493",""
"2022-05-30,11:26:14","valley seeker","#0186","You wanna talk about this here?

And the answer is yes, really far into the green quadrant to say lightly.

But no politics here","Le Mounir#6969",""
"2022-05-30,11:26:16","Wubba Wubba","#1493","I love mou.","",""
"2022-05-30,11:26:20","Le Mounir","#6969","I can't do jokes about his mom any more I'm sad","",""
"2022-05-30,11:26:26","valley seeker","#0186","Wait, arthur is joe?","",""
"2022-05-30,11:26:32","valley seeker","#0186","Why joe","",""
"2022-05-30,11:26:41","Wubba Wubba","#1493","JOE MAMA","",""
"2022-05-30,11:26:50","Darky4540","#5733","","",""
"2022-05-30,11:26:50","valley seeker","#0186","HAA","Wubba Wubba#1493",""
"2022-05-30,11:26:57","Le Mounir","#6969","Are you the Linux type of libertarian,.the gun type or the crypto type?","",""
"2022-05-30,11:27:10","Le Mounir","#6969","Or the three of em","",""
"2022-05-30,11:27:17","valley seeker","#0186","Like i said. Not the place.

I am the marx type","Le Mounir#6969",""
"2022-05-30,11:27:22","Le Mounir","#6969","What","",""
"2022-05-30,11:27:26","Darky4540","#5733","Marxist libertarian?","",""
"2022-05-30,11:27:27","Darky4540","#5733","What","",""
"2022-05-30,11:27:28","Le Mounir","#6969","Have","",""
"2022-05-30,11:27:29","Darky4540","#5733","The fuck?","",""
"2022-05-30,11:27:29","Le Mounir","#6969","Tou","",""
"2022-05-30,11:27:31","Le Mounir","#6969","Rnsksvsisbss","",""
"2022-05-30,11:27:40","Le Mounir","#6969","Have you read anything from Marx???","",""
"2022-05-30,11:27:40","Frunnkis","#8368","Isn't that contradictory?","",""
"2022-05-30,11:27:45","the good olive oil","#7281","aren’t libertarians on the right of the compass?????","",""
"2022-05-30,11:27:49","Le Mounir","#6969","No","",""
"2022-05-30,11:27:51","valley seeker","#0186","No","",""
"2022-05-30,11:27:53","valley seeker","#0186","And yes","",""
"2022-05-30,11:27:54","Le Mounir","#6969","Différent shit","",""
"2022-05-30,11:28:10","Le Mounir","#6969","It can be both","",""
"2022-05-30,11:28:11","the good olive oil","#7281","oh","",""
"2022-05-30,11:28:16","Wubba Wubba","#1493","I miss seeing him. I wish I liked going out more, so I could go out with friends, but I usually whine, or am unpleasant to be around.","",""
"2022-05-30,11:28:24","Le Mounir","#6969","Mais la boussole politique is shit anyway","",""
"2022-05-30,11:28:35","valley seeker","#0186","Indeed","Le Mounir#6969",""
"2022-05-30,11:28:40","Darky4540","#5733","A Marxist libertarian is questionable since libertarians believe in a very strong market and private companies doing the heavy lifting","",""
"2022-05-30,11:28:50","Darky4540","#5733","Can you please explain????","",""
"2022-05-30,11:28:52","valley seeker","#0186","Yes. And engel. And lenin.","Le Mounir#6969",""
"2022-05-30,11:28:52","Le Mounir","#6969","I like your whining","",""
"2022-05-30,11:29:10","valley seeker","#0186","Libertarian believe in a weak state.

Thats our common point","Darky4540#5733",""
"2022-05-30,11:29:17","Frunnkis","#8368","https://tenor.com/view/he-just-like-me-fr-gif-25075803","Wubba Wubba#1493",""
"2022-05-30,11:29:33","valley seeker","#0186","Gotta go back to work","",""
"2022-05-30,11:29:34","Darky4540","#5733","No? I mean kinda but marx believed in a strong state where class is removed","",""
"2022-05-30,11:29:43","Darky4540","#5733","A classless state not anarchism","",""
"2022-05-30,11:29:45","valley seeker","#0186","No. He's a anarchist","Darky4540#5733",""
"2022-05-30,11:30:05","valley seeker","#0186","A stateless, classless state","",""
"2022-05-30,11:30:12","Darky4540","#5733","What","",""
"2022-05-30,11:30:14","Darky4540","#5733","Mo","",""
"2022-05-30,11:30:23","Darky4540","#5733","Nono","",""
"2022-05-30,11:30:26","Darky4540","#5733","I mean you could interpret him as that I guess","",""
"2022-05-30,11:30:33","Le Mounir","#6969","Ok I don't wanna get into it that much","",""
"2022-05-30,11:30:37","Le Mounir","#6969","Mais","",""
"2022-05-30,11:30:43","inoowo","#5169","mounirrr","",""
"2022-05-30,11:30:46","inoowo","#5169","noooon","",""
"2022-05-30,11:30:48","Le Mounir","#6969","Dictature du prolétariat","",""
"2022-05-30,11:30:48","inoowo","#5169","no mais","",""
"2022-05-30,11:30:50","inoowo","#5169","nooooo","",""
"2022-05-30,11:30:52","Le Mounir","#6969","C genre un objectif","",""
"2022-05-30,11:30:52","the good olive oil","#7281","Ä","",""
"2022-05-30,11:30:54","Le Mounir","#6969","Voilà","",""
"2022-05-30,11:31:21","Le Mounir","#6969","TBF i haven't read shit in years","",""
"2022-05-30,11:31:49","Le Mounir","#6969","I'm too scared to fuck up one sentence and fuck up a whole argument cause of it","",""
"2022-05-30,11:31:51","Le Mounir","#6969","Also","",""
"2022-05-30,11:32:05","Darky4540","#5733","Only brainlets think marx was an anarchist that's like saying yeah hitler was a nasbol","",""
"2022-05-30,11:32:06","Darky4540","#5733","Like what","",""
"2022-05-30,11:32:16","Le Mounir","#6969","Why do ginger people have freckles??","",""
"2022-05-30,11:32:23","Le Mounir","#6969","Genre what's the correlation","",""
"2022-05-30,11:32:34","Le Mounir","#6969","Where my science bitches at","",""
"2022-05-30,11:32:46","Darky4540","#5733","Just an fyi <@533006800849731616> I respect your opinion I'm just turbo fucking lost","valley seeker#0186",""
"2022-05-30,11:33:28","the good olive oil","#7281","as someone who gave up on sciences years ago, they’re just built worse","",""
"2022-05-30,11:33:36","Le Mounir","#6969","O good to know","",""
"2022-05-30,11:33:41","the good olive oil","#7281","Npnp","",""
"2022-05-30,11:33:41","Le Mounir","#6969","Fucking Irish people","",""
"2022-05-30,11:33:51","Darky4540","#5733","Fucking gingers man","",""
"2022-05-30,11:33:56","Le Mounir","#6969","Rootbeer","",""
"2022-05-30,11:33:58","Le Mounir","#6969","Wait","",""
"2022-05-30,11:33:59","Le Mounir","#6969","No","",""
"2022-05-30,11:34:01","Darky4540","#5733","Beer","",""
"2022-05-30,11:34:02","Le Mounir","#6969","What's the name","",""
"2022-05-30,11:34:05","Le Mounir","#6969","Canada dry","",""
"2022-05-30,11:34:08","Frunnkis","#8368","https://tenor.com/view/monka-walk-away-monka-s-monka-w-monka-pepe-gif-24418591","Le Mounir#6969",""
"2022-05-30,11:34:09","Le Mounir","#6969","Here we go","",""
"2022-05-30,11:34:09","Darky4540","#5733","Gingerale","",""
"2022-05-30,11:34:17","Darky4540","#5733","I'd fuck irish ppl","",""
"2022-05-30,11:34:19","Le Mounir","#6969","You're Scottish in my head","",""
"2022-05-30,11:34:28","Darky4540","#5733","Unpopular opinion the northern Ireland is danish","",""
